제조사,정규화제품키,원본품목번호,분류후보,원본품목명,검토상태
롯데칠성음료,롯데펩시콜라,20022|40033|40070|60009|60043|80160,음료 > 과채음료 > 과일음료|음료 > 기능성음료 > 비타민/에너지음료|음료 > 차음료 > 일반차음료|음료 > 커피음료 > 커피음료|음료 > 탄산음료 > 사이다|음료 > 탄산음료 > 혼합탄산,롯데)펩시콜라160ML|롯데)펩시콜라210ML|롯데펩시콜라1.25L|롯데펩시콜라1.5L|롯데펩시콜라250ML|롯데펩시콜라600ML,pending
롯데칠성음료,롯데핑크퐁키즈홍삼사과당근,55409|55413|90047,음료 > 과일음료 > 어린이음료|음료 > 기능성음료 > 비타민/에너지음료,롯데핑크퐁키즈홍삼(사과당근)100ML|롯데핑크퐁키즈홍삼사과당근,pending
롯데칠성음료,롯데핑크퐁키즈홍삼포도야채,50010|55406|55410,음료 > 과일음료 > 어린이음료|음료 > 과채음료 > 과일음료|음료 > 액상조미료 > 음용식초,롯데핑크퐁키즈홍삼(포도야채)100ML|롯데핑크퐁키즈홍삼포도야채,pending
롯데칠성음료,롯데핫식스,10015|30010,음료 > 과채음료 > 과일음료|음료 > 기능성음료 > 비타민/에너지음료,롯데핫식스355ML|롯데핫식스자몽250ML,pending
맑은농산,코코크런치넛시나몬피칸,45969|56055,과자 > 견과류 > 혼합견과|통조림/안주 > 안주 > 견과류,맑은농산)코코크런치넛시나몬피칸,pending
매크로통상,leon레옹비타민c젤리,55932|66024,과자 > 캔디 > 젤리|의약외품 > 건강보조식품 > 비타민/미네랄,매크로통상)LEON레옹비타민C레몬젤리80G|매크로통상)LEON레옹비타민C자몽젤리80G,pending
머거본,꿀땅콩,35964|40213|66370,과자 > 견과류 > 혼합견과|통조림/안주 > 안주 > 견과류,머거본)꿀땅콩|머거본꿀땅콩55G|머거본꿀땅콩60G,pending
머거본,알땅콩,20121|80170,과자 > 견과류 > 땅콩|통조림/안주 > 안주 > 견과류,머거본) 알땅콩|머거본알땅콩55G,pending
머거본,커피땅콩,35965|66371|90198,과자 > 견과류 > 땅콩|통조림/안주 > 안주 > 견과류,머거본)커피땅콩|머거본커피땅콩55G|머거본커피땅콩70G,pending
머거본,후렌치후라이드아몬드,20122|60185,과자 > 견과류 > 아몬드|통조림/안주 > 안주 > 견과류,머거본)후렌치후라이드아몬드|머거본)후렌치후라이드아몬드40G,pending
